ORGANIZATION,NAME,MOTHERORG,DISABLED,CREATED,MODIFIED,DIRECTORYDN,DIRECTORYMODIFIED,SORTORDER,UNIQUE_IMPORT_ID,IMPORT_MODIFIED,ORGANIZATION_LEVEL,GUID
1,Matrix Value-Added Platforms,,0,2020-09-26 23:05:38,2021-08-30 17:38:52,"CN=Matrix Value-Added Platforms,OU=Departments,DC=example,DC=com",2021-06-10 14:28:21,10,18c90d0b,business,5,eab64f51-33e0-4cf6-9760-0cf8b99c9805
2,Target Viral Eyeballs,,0,2022-08-12 05:29:02,2023-08-14 21:47:08,"CN=Target Viral Eyeballs,OU=Departments,DC=example,DC=com",2023-08-05 08:02:51,20,0d0e6fa2,design,2,c42b8406-8b19-49d5-a137-563e720a4c97
3,Optimize Extensible Channels,,0,2023-11-21 08:57:20,2024-10-18 03:38:22,"CN=Optimize Extensible Channels,OU=Departments,DC=example,DC=com",2024-09-08 05:56:19,30,a7e47b01,market,4,984ab4cb-8147-4221-8c7b-781c25ae8619
4,Whiteboard E-Business Networks,1.0,0,2023-12-11 02:22:51,2024-08-03 12:54:55,"CN=Whiteboard E-Business Networks,OU=Departments,DC=example,DC=com",2024-05-06 19:54:46,40,4e658549,career,5,5df349b9-ef53-49ee-958d-4c65644c47a1
5,Enable Vertical Interfaces,1.0,0,2021-11-16 23:10:20,2024-07-28 06:21:25,"CN=Enable Vertical Interfaces,OU=Departments,DC=example,DC=com",2024-06-21 09:25:00,50,091c654b,get,5,b42f9d7a-59fb-4fac-835d-93fba6c5fd3e
6,Grow Magnetic E-Commerce,,0,2020-11-14 01:28:15,2021-11-04 08:01:50,"CN=Grow Magnetic E-Commerce,OU=Departments,DC=example,DC=com",2021-08-07 13:03:33,60,770a01cb,house,5,4a0fc66c-befb-4d41-aae6-c3877490e23a
7,E-Enable Value-Added E-Services,,0,2020-10-30 04:29:43,2020-11-29 21:32:23,"CN=E-Enable Value-Added E-Services,OU=Departments,DC=example,DC=com",2020-11-10 22:57:22,70,802ae5f2,fly,4,351f2c8d-b5cb-49c6-b9f9-587c0e26ec76
8,Iterate Distributed Experiences,4.0,0,2022-07-08 06:21:01,2025-02-11 08:43:25,"CN=Iterate Distributed Experiences,OU=Departments,DC=example,DC=com",2024-11-21 17:13:44,80,e0ac70c6,realize,4,1c7dc11b-174d-4137-9ce1-2dbe7908a78d
9,Whiteboard Ubiquitous Communities,,0,2022-08-08 17:26:09,2024-07-02 02:29:35,"CN=Whiteboard Ubiquitous Communities,OU=Departments,DC=example,DC=com",2024-05-10 15:50:11,90,85e0529c,miss,4,bfa02780-532e-4e64-941b-983a1c578dba
10,Architect 24/365 Applications,,0,2022-08-07 06:59:34,2025-05-21 20:43:34,"CN=Architect 24/365 Applications,OU=Departments,DC=example,DC=com",2025-03-27 23:48:15,100,3ac94c8b,wife,2,512678a3-7239-42c4-819b-6a5f1d945006
