USERFIELD,ACCESSCATALYST,FIELD_VALUE
2,2,Norwegian
2,3,Spanish
4,3,Scrum Master
3,3,Hiking
1,4,SQL
2,5,German
4,5,PMP
1,5,Python
4,6,AWS Certified
2,6,German
4,7,AWS Certified
2,7,English
1,7,Python
2,8,Spanish
2,9,Norwegian
1,9,Excel
3,9,Running
2,10,Norwegian
3,11,Hiking
2,11,German
4,11,AWS Certified
1,12,Python
4,13,PMP
2,13,Spanish
1,13,Project Management
1,14,Project Management
2,14,Norwegian
3,14,Chess
1,15,Python
2,15,German
3,15,Hiking
3,16,Chess
1,16,SQL
3,17,Photography
4,17,PMP
4,18,PMP
1,18,Python
3,19,Running
4,20,Scrum Master
3,20,Chess
3,21,Photography
4,21,AWS Certified
1,22,Excel
4,23,AWS Certified
1,23,Excel
1,24,Project Management
2,24,Spanish
2,25,Norwegian
1,25,Project Management
3,25,Running
3,26,Hiking
4,27,PMP
2,28,German
4,28,AWS Certified
2,29,Norwegian
2,30,German
1,30,SQL
4,31,AWS Certified
2,32,English
1,32,Python
2,33,Norwegian
4,34,AWS Certified
3,34,Hiking
2,34,English
4,35,Scrum Master
1,35,Project Management
1,36,SQL
3,36,Hiking
1,37,Excel
3,38,Photography
4,38,PMP
4,39,PMP
2,39,English
2,40,Norwegian
4,40,AWS Certified
4,41,PMP
2,41,Spanish
1,42,Excel
2,42,Spanish
2,43,Spanish
3,44,Hiking
4,44,Scrum Master
1,45,Excel
1,46,Excel
3,46,Running
1,47,Project Management
2,48,Spanish
1,48,Project Management
4,48,AWS Certified
3,49,Photography
3,50,Hiking
1,50,Excel
4,50,AWS Certified
