USERPROFILE_HISTORY_ID,USERPROFILE_ID,ACCESSCATALYST,OLD_VALUE,NEW_VALUE,MODIFIED,REASON,MODIFIEDBY,CHANGED_BY,CHANGED_DATE,CHANGED_BY_DEPUTY,CHANGE_TYPE,VALID_FROM,APPROVED_BY,RECORD_NUMBER,VALID_TO,IS_TIMELINE,APPROVED_ON,REASON_FOR_CHANGE_IN_VALUE,CHANGED_BY_ROLE,PRIMARY_RECORD,APPROVED_BY_DEPUTY,CHANGE_FROM_COMMON_TYPE,CHANGE_FROM_PROCESS_ID,INTEGRATION_ID,INTEGRATION_VERSION,INTEGRATION_TYPE,INTEGRATION_MODE
1,1,1,SQL,Power BI,2023-03-12 13:03:48,Profile value updated from 'SQL' to 'Power BI' for role alignment.,matthewsimpson,827,2023-03-12 13:03:48,336,3,2023-02-12,143,1,2023-05-14,0,2023-03-27 13:03:48,Profile value updated from 'SQL' to 'Power BI' for role alignment.,8,751,644,10,8,0,0,0,0
2,1,1,Running,Cycling,2023-12-09 13:03:50,Profile value updated from 'Running' to 'Cycling' for role alignment.,dustintran,709,2023-12-09 13:03:50,485,5,2023-09-02,33,2,2024-03-18,1,2023-12-11 13:03:50,Profile value updated from 'Running' to 'Cycling' for role alignment.,4,983,860,10,35,0,0,0,0
3,1,1,SQL,Power BI,2023-04-23 13:03:53,Profile value updated from 'SQL' to 'Power BI' for role alignment.,dustin67,425,2023-04-23 13:03:53,465,4,2023-03-14,775,3,2023-10-18,0,2023-04-24 13:03:53,Profile value updated from 'SQL' to 'Power BI' for role alignment.,1,710,428,5,53,0,0,0,0
4,1,3,PMP,Scrum Master,2024-02-19 13:03:54,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,rjackson,972,2024-02-19 13:03:54,37,2,2023-11-12,361,4,2024-04-20,0,2024-03-19 13:03:54,Profile value updated from 'PMP' to 'Scrum Master' for role alignment.,8,527,891,10,67,0,0,0,0
5,1,3,Python,Power BI,2023-12-30 13:03:54,Profile value updated from 'Python' to 'Power BI' for role alignment.,sparkswilliam,9,2023-12-30 13:03:54,762,5,2023-09-23,974,5,2024-05-07,1,2024-01-17 13:03:54,Profile value updated from 'Python' to 'Power BI' for role alignment.,9,980,747,3,15,0,0,0,0
6,1,3,Azure Fundamentals,AWS Certified,2023-12-29 13:03:55,Profile value updated from 'Azure Fundamentals' to 'AWS Certified' for role alignment.,hendrixsarah,507,2023-12-29 13:03:55,606,1,2023-10-12,214,6,2024-06-20,1,2024-01-16 13:03:55,Profile value updated from 'Azure Fundamentals' to 'AWS Certified' for role alignment.,6,852,176,7,44,0,0,0,0
7,1,4,SQL,Power BI,2023-02-24 13:03:56,Profile value updated from 'SQL' to 'Power BI' for role alignment.,tcollins,684,2023-02-24 13:03:56,273,3,2022-12-02,293,7,2023-05-06,1,2023-03-09 13:03:56,Profile value updated from 'SQL' to 'Power BI' for role alignment.,2,751,630,9,95,0,0,0,0
8,1,4,Azure Fundamentals,AWS Certified,2023-05-06 13:03:57,Profile value updated from 'Azure Fundamentals' to 'AWS Certified' for role alignment.,cwright,123,2023-05-06 13:03:57,270,5,2023-02-09,897,8,2023-10-28,0,2023-05-09 13:03:57,Profile value updated from 'Azure Fundamentals' to 'AWS Certified' for role alignment.,2,656,74,10,5,0,0,0,0
9,1,5,SQL,Python,2023-09-27 13:03:58,Profile value updated from 'SQL' to 'Python' for role alignment.,davidsonjennifer,419,2023-09-27 13:03:58,472,3,2023-06-22,892,9,2023-11-29,0,2023-10-19 13:03:58,Profile value updated from 'SQL' to 'Python' for role alignment.,1,823,89,8,84,0,0,0,0
10,1,5,Hiking,Running,2023-04-12 13:03:58,Profile value updated from 'Hiking' to 'Running' for role alignment.,courtney81,912,2023-04-12 13:03:58,223,5,2023-03-19,1,10,2023-07-02,0,2023-05-06 13:03:58,Profile value updated from 'Hiking' to 'Running' for role alignment.,9,352,343,5,77,0,0,0,0
