EmployeeID,CompanyName,Industry,EffectiveFrom,EffectiveTo,PositionTitle,Department,FTE,ManagerID
E00007,Fjordkraft AS,Energy (Renewable Power),2005-11-23,2008-07-23,Sales Representative - Key Accounts,Sales,80,S00254
E00007,Fjordkraft AS,Energy (Renewable Power),2008-07-24,2011-06-24,Sales Team Lead,Sales,100,S00452
E00007,Fjordkraft AS,Energy (Renewable Power),2011-06-25,2013-01-25,Regional Account Manager,Sales,100,S23456
E00007,Fjordkraft AS,Energy (Renewable Power),2013-01-26,2014-04-26,Business Development Specialist,Sales,80,E00025
E00007,Fjordkraft AS,Energy (Renewable Power),2014-04-27,2015-11-23,"Project Coordinator, Renewable Energy Initiatives",Operations,80,E00025
E00008,Fjordkraft AS,Energy (Renewable Power),2007-03-23,2009-04-23,Sales Representative - Residential Accounts,Sales,80,S00256
E00008,Fjordkraft AS,Energy (Renewable Power),2009-04-24,2010-06-24,Sales Coordinator - Business Accounts,Sales,80,E00025
E00008,Fjordkraft AS,Energy (Renewable Power),2010-06-25,2012-10-25,Junior Marketing Specialist,Marketing,80,M00235
E00008,Fjordkraft AS,Energy (Renewable Power),2012-10-26,2015-03-26,Marketing Coordinator,Marketing,80,M00234
E00008,Fjordkraft AS,Energy (Renewable Power),2015-03-27,2017-03-23,Sales Representative - Key Accounts,Sales,80,S00452
E00006,Fjordkraft AS,Energy (Renewable Power),1992-01-17,1994-02-17,Sales Representative - Residential Accounts,Sales,80,S00234
E00006,Fjordkraft AS,Energy (Renewable Power),1994-02-18,1996-08-18,Sales Team Lead - Regional Accounts,Sales,80,S00234
E00006,Fjordkraft AS,Energy (Renewable Power),1996-08-19,1997-08-19,Key Account Manager - Strategic Partnerships,Sales,100,E00025
E00006,Fjordkraft AS,Energy (Renewable Power),1997-08-20,1999-09-20,Sales Operations Analyst,Sales,80,S00235
E00006,Fjordkraft AS,Energy (Renewable Power),1999-09-21,2001-01-21,Marketing Coordinator,Marketing,80,M20345
E00006,Fjordkraft AS,Energy (Renewable Power),2001-01-22,2002-01-17,Sales Representative - Key Accounts,Sales,80,S00452
E00011,Fjordkraft AS,Energy (Renewable Power),2006-04-16,2008-04-16,Sales Representative - Residential Accounts,Sales,80,S00427
