EmployeeID,CompanyName,Industry,EffectiveFrom,EffectiveTo,PositionTitle,Department,FTE,ManagerID
E00007,Berge-Ahmed,Consulting,2005-11-23,2007-02-23,Research Scientist,Logistics,100,E00003
E00007,Berge-Ahmed,Consulting,2007-02-24,2008-05-24,Janitor,Marketing,60,E00005
E00007,Berge-Ahmed,Consulting,2008-05-25,2009-07-25,IT Support Specialist,Customer Service,60,E00013
E00007,Berge-Ahmed,Consulting,2009-07-26,2011-01-26,Janitor,Office Management,100,E00002
E00007,Berge-Ahmed,Consulting,2011-01-27,2012-01-27,Legal Counsel,Office Management,80,E00010
E00007,Berge-Ahmed,Consulting,2012-01-28,2015-01-28,Facilities Manager,Finance,100,E00005
E00007,Berge-Ahmed,Consulting,2015-01-29,2015-11-23,Data Analyst,Logistics,100,E00014
E00009,Berge-Ahmed,Consulting,1994-07-20,1995-10-20,CFO,Marketing,60,E00010
E00009,Berge-Ahmed,Consulting,1995-10-21,1997-09-21,Research & Development,R&D,100,E00130
E00009,Berge-Ahmed,Consulting,1997-09-22,2000-07-22,Marketing Specialist,Sales,60,E00003
E00009,Berge-Ahmed,Consulting,2000-07-23,2002-02-23,Accountant,Operations,80,E00002
E00009,Berge-Ahmed,Consulting,2002-02-24,2003-07-24,CEO,Executive Management,100,E00001
E00009,Berge-Ahmed,Consulting,2003-07-25,2004-07-20,Marketing Specialist,Legal,60,E00014
E00004,Berge-Ahmed,Consulting,1994-12-30,1997-02-28,CFO,Logistics,60,E00014
E00004,Berge-Ahmed,Consulting,1997-03-01,1999-12-01,Facilities Manager,Sales,100,E00007
E00004,Berge-Ahmed,Consulting,1999-12-02,2001-08-02,Marketing Specialist,IT,60,E00014
E00004,Berge-Ahmed,Consulting,2001-08-03,2004-04-03,Research and Development Specialist,R&D,100,E00101
E00004,Berge-Ahmed,Consulting,2004-04-04,2004-12-30,Office Manager,Human Resources (HR),80,E00012
E00012,Berge-Ahmed,Consulting,2029-03-23,,Janitor,Logistics,60,E00013
E00003,Berge-Ahmed,Consulting,1987-11-03,1989-11-03,CEO,Customer Service,100,E00006
E00003,Berge-Ahmed,Consulting,1989-11-04,1992-11-04,Sales Manager,Finance,100,E00001
E00003,Berge-Ahmed,Consulting,1992-11-05,1995-08-05,COO,Marketing,80,E00005
E00003,Berge-Ahmed,Consulting,1995-08-06,1997-11-03,Logistics Coordinator,Research & Development (R&D),60,E00014
E00010,Berge-Ahmed,Consulting,1986-11-23,1989-04-23,Logistics Coordinator,Facilities,100,E00003
E00010,Berge-Ahmed,Consulting,1989-04-24,1991-06-24,Research Scientist,Logistics,60,E00008
E00010,Berge-Ahmed,Consulting,1991-06-25,1992-09-25,Procurement Officer,IT,100,E00011
E00010,Berge-Ahmed,Consulting,1992-09-26,1995-09-26,Production Supervisor,Research & Development (R&D),60,E00011
E00010,Berge-Ahmed,Consulting,1995-09-27,1996-11-23,CEO,Procurement,100,E00007
E00011,Berge-Ahmed,Consulting,2006-04-16,2007-06-16,Marketing Specialist,Janitorial,100,E00008
E00011,Berge-Ahmed,Consulting,2007-06-17,2008-10-17,HR Coordinator,Janitorial,60,E00004
E00011,Berge-Ahmed,Consulting,2008-10-18,2011-05-18,COO,IT,60,E00008
E00011,Berge-Ahmed,Consulting,2011-05-19,2012-11-19,Procurement Officer,Operations,60,E00001
E00011,Berge-Ahmed,Consulting,2012-11-20,2015-03-20,Office Manager,Finance,100,E00012
E00011,Berge-Ahmed,Consulting,2015-03-21,2016-03-21,Receptionist,Customer Service,60,E00012
E00011,Berge-Ahmed,Consulting,2016-03-22,2016-04-16,Sales Manager,Customer Service,100,E00007
E00005,Berge-Ahmed,Consulting,1981-11-28,1984-03-28,Customer Service Rep,Logistics,60,E00002
E00005,Berge-Ahmed,Consulting,1984-03-29,1985-07-29,Receptionist,Janitorial,100,E00008
E00005,Berge-Ahmed,Consulting,1985-07-30,1987-08-30,IT Support Specialist,Finance,100,E00001
E00005,Berge-Ahmed,Consulting,1987-08-31,1989-09-30,COO,Production,60,E00007
E00005,Berge-Ahmed,Consulting,1989-10-01,1991-11-28,Accountant,Sales,80,E00014
E00002,Berge-Ahmed,Consulting,1988-06-10,1989-09-10,Customer Service Rep,IT,100,E00006
E00002,Berge-Ahmed,Consulting,1989-09-11,1991-10-11,Legal Counsel,Logistics,80,E00012
E00002,Berge-Ahmed,Consulting,1991-10-12,1994-03-12,Accountant,Sales,60,E00006
E00002,Berge-Ahmed,Consulting,1994-03-13,1997-03-13,Customer Service Rep,Legal,80,E00005
E00002,Berge-Ahmed,Consulting,1997-03-14,1998-06-10,Sales Manager,Legal,80,E00007
E00006,Berge-Ahmed,Consulting,1992-01-17,1994-03-17,Procurement Officer,Office Management,60,E00014
E00006,Berge-Ahmed,Consulting,1994-03-18,1997-01-18,Operations Analyst,Human Resources (HR),100,E00003
E00006,Berge-Ahmed,Consulting,1997-01-19,1999-07-19,Janitor,Sales,60,E00010
E00006,Berge-Ahmed,Consulting,1999-07-20,2002-01-17,Operations Analyst,Legal,100,E00002
E00013,Berge-Ahmed,Consulting,2007-04-15,2008-06-15,Data Analyst,Marketing,60,E00012
E00013,Berge-Ahmed,Consulting,2008-06-16,2010-12-16,Customer Service Rep,Sales,60,E00009
E00013,Berge-Ahmed,Consulting,2010-12-17,2013-06-17,Receptionist,Facilities,80,E00012
E00013,Berge-Ahmed,Consulting,2013-06-18,2015-04-18,Customer Service Rep,Logistics,80,E00004
E00013,Berge-Ahmed,Consulting,2015-04-19,2017-01-19,Office Manager,Facilities,100,E00007
E00013,Berge-Ahmed,Consulting,2017-01-20,2017-04-15,Accountant,Marketing,60,E00012
E00001,Berge-Ahmed,Consulting,1983-03-02,1984-07-02,Consultant,Consulting,60,E00100
E00001,Berge-Ahmed,Consulting,1984-07-03,1986-02-03,CEO,Procurement,100,E00005
E00001,Berge-Ahmed,Consulting,1986-02-04,1987-11-04,CEO,Procurement,60,E00011
E00001,Berge-Ahmed,Consulting,1987-11-05,1990-07-05,Production Supervisor,Research & Development (R&D),60,E00002
E00001,Berge-Ahmed,Consulting,1990-07-06,1991-10-06,HR Coordinator,Logistics,100,E00009
E00001,Berge-Ahmed,Consulting,1991-10-07,1993-02-07,Logistics Coordinator,Procurement,60,E00012
E00001,Berge-Ahmed,Consulting,1993-02-08,1993-03-02,Logistics Coordinator,Janitorial,80,E00007
E00014,Berge-Ahmed,Consulting,1985-04-10,1987-05-10,Logistics Coordinator,Sales,100,E00010
E00014,Berge-Ahmed,Consulting,1987-05-11,1989-01-11,Legal Counsel,Production,60,E00001
E00014,Berge-Ahmed,Consulting,1989-01-12,1990-01-12,Accountant,Marketing,60,E00004
E00014,Berge-Ahmed,Consulting,1990-01-13,1991-12-13,Receptionist,Human Resources (HR),80,E00004
E00014,Berge-Ahmed,Consulting,1991-12-14,1993-11-14,Sales Manager,Executive Management,100,E00013
E00014,Berge-Ahmed,Consulting,1993-11-15,1995-02-15,CEO,Office Management,60,E00001
E00014,Berge-Ahmed,Consulting,1995-02-16,1995-04-10,Legal Counsel,Office Management,100,E00004
E00008,Berge-Ahmed,Consulting,2007-03-23,2009-04-23,Customer Service Rep,Logistics,100,E00014
E00008,Berge-Ahmed,Consulting,2009-04-24,2011-04-24,Sales Manager,Janitorial,100,E00012
E00008,Berge-Ahmed,Consulting,2011-04-25,2013-01-25,Customer Service Rep,Customer Service,100,E00013
E00008,Berge-Ahmed,Consulting,2013-01-26,2014-11-26,Logistics Coordinator,Marketing,80,E00010
E00008,Berge-Ahmed,Consulting,2014-11-27,2016-11-27,Janitor,Facilities,100,E00009
E00008,Berge-Ahmed,Consulting,2016-11-28,2017-03-23,Logistics Coordinator,Sales,100,E00006
